PIB Municipal - preços de mercado (preços de 2010)
Sigla,Código,Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AL,2703809,Joaquim Gomes,107386.624241183,110266.540714857,75537.3776342033,75448.4133735767,80680.5272908863,83197.6226826533,92721.7504275616,95589.2677771517,94887,78176.7915049463,79794.7525490999,93413.5275699555,95117.2374004283,100246.343800597,144338.878277282,192920.685924845,152903.526490197,192104.17455915,178527.385174989,243185.591369484,
AL,2703908,Jundiá,33908.9083054245,26552.6401659005,22795.6139464897,25364.4584651998,28669.8563798074,28749.8806154699,31442.5233324483,32989.9691554892,28731,30848.813038944,26270.3982861171,26778.6824678048,27905.7086079742,27035.2955704571,28007.4239298529,27897.9642721194,27143.3273957776,26614.6162950724,23327.5487776094,25574.9709559558,
AL,2704005,Junqueiro,189429.307962342,141586.770791963,118160.543323708,135125.029775359,135912.626315892,135302.207880281,151748.879479954,159002.825669717,138333,157207.545363956,146828.913145183,161967.272913115,150046.388960527,190253.811773815,234040.156590659,216424.465348243,185478.330263957,196006.917440116,224141.30517703,256755.212460595,
AL,2704104,Lagoa da Canoa,105606.798007266,73412.6250001316,70118.6696455541,61805.7289876499,64415.6375629176,72947.2356335559,80761.2476629926,81979.9703492192,93839,77718.8830426594,94461.7358870547,85197.7386856709,81389.0067521321,89471.1785628359,79986.3201022788,96419.9563588833,119355.448997817,117140.720817047,126622.599683119,127445.858880961,
AL,2704203,Limoeiro de Anadia,78701.5742091679,79607.5191563373,79017.2838319121,84658.9998139257,87394.0845070219,85468.0073485525,93965.2995486042,97965.9073534764,97824,100155.474492172,99119.5230034173,125506.577206059,187553.006858538,259546.92982299,317969.173916522,280685.670761611,239725.163988805,285848.665378586,285652.048601234,319822.277659684,
AL,2704302,Maceió,8129341.74096565,7972086.0948158,8547590.38614249,8624984.43400789,9546779.20618921,10411847.9816296,10656232.7495946,11470831.3989304,12369801,12998798.9241552,13228572.1233453,13092377.1014553,13475006.3891415,14189134.9330179,13515723.4097064,13365436.1015205,13115930.3287585,13129214.741258,12098351.2397005,12829739.0065713,
AL,2704401,Major Isidoro,68551.7226037811,55567.1067010503,66227.3049887183,75504.2229134591,76618.304259509,77874.7163821758,82192.753194851,89972.9388513478,86987,86853.9722247738,91795.8669113474,98494.7945016807,102058.071477259,107416.300048102,102150.43202466,107523.212741012,103106.696969799,108840.228363764,109970.091387084,132304.85595473,
AL,2704500,Maragogi,136381.933156144,127818.049801719,146598.843945421,141526.569125457,160118.29346438,165627.571202881,186818.332072171,204600.260606915,200032,224778.586032709,235527.000964451,238378.803364251,307426.795605383,303794.920932052,330866.837191293,412078.590030815,368429.779603817,389099.981643738,371993.26714438,522278.46623511,
AL,2704609,Maravilha,35622.5075014615,28992.7101531661,32016.1692927071,35542.8604912471,38978.8420799625,36582.1363262916,37571.7639708102,37976.358485561,38620,38955.4545860028,41022.9083797892,45357.487330272,43149.8723020657,46236.102363153,42270.9161865023,40630.7589152345,39630.1598278755,39204.9794503667,42049.2193574816,42358.0934262403,
AL,2704708,Marechal Deodoro,721825.536069132,824819.534949333,962563.112362421,990039.418009763,992122.589659236,1081551.93239503,1027542.04032541,784853.777313122,911886,950401.015109513,841244.59030531,985664.748133369,916757.374303318,1020605.3818196,1040367.73166145,1176480.73056489,1127823.96333987,1350792.91341583,1498315.7137193,1591571.51696251,
AL,2704807,Maribondo,51701.4980036712,50817.2252792378,44984.2014562109,48268.8869575473,53320.048065863,56419.1717820371,58586.866117745,64959.6746972368,63900,67523.9573389617,76401.0508822385,81184.9141352369,79505.7089098376,85830.3083841652,82988.2256955214,84218.9186623689,84406.0213197215,86938.0083460679,85778.676590948,87751.3678471623,
AL,2704906,Mar Vermelho,14001.0827558421,12054.3410685027,13011.175953696,14640.6839295852,14834.5316307606,15524.8321271493,16775.6669955098,17526.6326420115,16898,17391.2895414523,18527.6610910325,19508.0235529721,18754.0466293195,19153.4871388386,19592.3187535296,19485.9242894731,21660.9034765683,22130.3388788637,28724.9963264702,23779.163314224,
AL,2705002,Mata Grande,84682.3197002939,63713.6512252523,64569.3372992575,83237.1935650786,89273.4141384897,82560.3998178378,87886.7363986234,86545.6771265474,88104,95116.6350019262,100171.50209874,108268.297594877,107102.329466139,114718.61416799,104449.4400276,115961.565207782,130852.610801474,138268.123323534,162333.987102605,165527.063923124,
AL,2705101,Matriz de Camaragibe,129007.429669676,139398.985585588,131411.560674187,130084.465584606,134098.931984587,131879.528521276,142972.149344866,141985.782717885,129057,157690.380294956,157731.863964021,162980.025818091,165210.145500365,162802.240407831,171926.339928452,182638.011896447,168390.993419414,171667.87106556,164733.497662311,180125.061472445,
AL,2705200,Messias,70183.8967956426,60642.0766914065,70182.0293125074,71806.3644172174,77577.8492116216,77515.7345201121,87161.4415346064,97559.3198347165,86801,95105.556571387,80573.046026127,95508.2474433283,105022.070979938,101388.873414021,111318.551135721,109908.470022772,91779.3603035673,99227.2096550914,94821.0371452821,103206.42357954,
AL,2705309,Minador do Negrão,21708.6838691066,19253.0476479826,20612.9390187824,20698.2895642768,21811.0288088394,24334.7175981413,25703.7210068199,28614.003220249,25264,25485.9294554269,25630.6581533519,27700.7410827836,26802.8765381621,26767.1508652659,27164.3274519537,29631.5286331317,31924.197816246,32553.5728530633,31916.0762372993,34777.1430488748,
AL,2705408,Monteirópolis,28904.7537325333,18109.5937535389,19604.5357908267,22353.2605592852,24911.9272811273,24431.8995052557,26432.9136916629,26071.4759362702,25581,28127.2119364809,28828.5035496207,30761.2755882394,30551.767895209,33433.7357224627,32855.3872738004,31755.4968283572,33129.3706880397,33935.2090097426,37726.1952745458,37802.5210904823,
AL,2705507,Murici,132735.67697712,140996.469495971,119249.85487299,127294.323744043,129292.30918914,135743.002623788,160404.789968249,160051.279351426,141080,137165.741316,122234.839271124,148216.745647115,152276.396550522,169228.798035317,164345.449852533,177704.115164064,184648.529506264,226615.299412974,223562.931837809,274533.101264264,
AL,2705606,Novo Lino,66174.5118084217,69729.6854758125,58416.1572395142,62665.8380157743,58355.606993048,62195.0523643591,73319.2279516038,76321.3563214644,97161,62914.4070321101,58273.6550079629,63956.1812914229,72946.255555477,74794.5421541465,81848.237455653,89235.4243565374,75402.3610165979,88705.0867164446,96329.7683285234,87398.4615364918,
AL,2705705,Olho d'Água das Flores,98713.4070410955,88851.2923400028,95684.1801348892,98647.7151422269,109678.751469155,108806.764494042,92790.4544646165,79784.3977479156,95979,99824.9679810857,111052.215961091,120806.385405115,118767.268275462,132228.943471437,124605.091867942,117416.094853432,116584.371238182,121839.070366519,120700.077798013,126866.551035006,
AL,2705804,Olho d'Água do Casado,35755.8031646045,27709.1801927497,29093.7697510903,38526.6132047352,37374.2940041744,39037.9593045639,43840.1079444592,41849.2401309223,36511,35294.0332927976,35791.2367325637,41002.5702824774,38498.7979206843,37682.9034804291,40286.5627005212,42861.2008834272,41378.7731394284,41986.793444559,42893.0322857792,43381.8018115582,
