ano,id_municipio_nascimento,total_observations,non_null_semana_gestacao,non_null_pre_natal_agr,gestacao_under_38,pre_natal_above_0
2010,4203501,244,0,244,0,241
2010,4123857,187,0,187,0,186
2010,4121802,89,0,89,0,89
2010,3554300,184,0,184,0,183
2010,4126678,148,0,147,0,147
2010,4127809,78,0,78,0,78
2010,4124400,242,0,242,0,240
2010,4106803,197,0,197,0,197
2010,4118709,80,0,80,0,80
2010,3524808,928,0,925,0,916
2010,3506508,1334,0,1332,0,1320
2010,4201000,107,0,107,0,106
2015,4300604,2589,2582,2589,554,2507
2015,4302808,394,394,394,89,392
2015,4320800,520,520,520,106,514
2015,4310306,71,71,71,18,71
2015,4301602,1903,1903,1903,425,1885
2015,4212205,311,311,311,56,307
2015,4215000,622,622,622,76,618
2015,4213609,437,427,437,68,431
2015,4322533,107,107,107,13,106
2015,4311205,153,152,153,33,152
2015,4316402,491,491,491,94,489
2015,4301008,228,228,228,33,228
2015,4303301,61,61,61,15,58
2015,4219705,381,381,381,78,379
2015,4219002,199,199,199,38,197
2015,4312609,59,59,59,9,59
2015,3148103,1406,1405,1406,325,1394
2011,4321600,1088,999,1088,164,1056
2011,4310801,354,354,354,72,349
2011,4312906,38,26,38,6,38
2011,4321006,135,0,135,0,133
2011,4307500,216,73,216,18,214
2011,4306304,114,3,114,1,114
2011,4319307,53,0,53,0,53
2011,4322301,83,6,83,0,83
2016,1301951,260,260,260,16,223
2016,1303304,366,353,366,90,340
2016,1304104,361,358,361,80,348
2016,1302207,161,148,161,43,146
2016,1300102,275,265,275,57,272
2016,1302108,119,113,119,27,111
2016,2706307,2754,2495,2754,531,2720
2016,2700102,58,53,58,21,57
2016,1500602,3409,3287,3409,539,3126
2013,4200408,33,0,33,0,33
2013,4215901,29,29,29,7,29
2013,4202800,471,462,471,84,463
2013,4207908,18,18,18,2,18
2013,3101003,142,89,142,15,140
2016,2110500,398,397,398,76,395
2016,2100709,197,194,197,33,193
2016,2109908,2214,2211,2214,399,2210
2016,2112100,847,825,847,102,843
2016,2107605,225,191,220,42,218
2018,2602308,267,255,267,47,256
2018,2202208,1057,1056,1057,120,1049
2018,2206407,15,15,15,5,12
2018,2606200,758,732,758,93,723
2018,2307304,3752,3744,3752,733,3727
2018,2613701,168,168,168,14,165
2018,2201101,67,67,67,16,66
2018,2612406,45,41,45,12,42
2018,2612307,56,55,56,4,55
2018,2609709,17,17,17,4,17
2018,2610400,57,54,57,2,54
2018,3518800,18633,18630,18633,3312,18435
2012,2111789,49,12,49,6,32
2012,2110500,470,449,470,98,468
2012,2104800,1808,1288,1808,234,1563
2012,2101731,57,48,57,13,50
2012,2105500,45,38,45,10,37
2012,2102036,359,180,359,44,312
2012,2107456,135,130,135,28,125
2015,2111748,133,130,133,21,132
2015,2103802,339,332,339,60,335
2015,2110500,509,508,509,77,501
2015,1500131,141,140,141,19,140
2015,2106102,157,157,157,16,154
2015,2311801,1349,1269,1349,202,1335
2015,1703842,22,18,22,6,22
2010,1300631,344,0,344,0,321
2010,1301308,437,0,437,0,403
2010,2907301,366,0,358,0,356
2010,2925501,321,6,321,2,309
2010,2930774,28,0,28,0,27
2010,2922706,180,0,180,0,175
2010,2925907,237,0,237,0,237
2010,2912509,40,0,40,0,40
2010,2921054,133,0,133,0,106
2010,3101706,877,0,875,0,830
2010,1501808,1912,0,1908,0,1592
2010,2919306,38,0,38,0,38
2010,2919900,44,0,44,0,40
2010,1507979,257,1,257,1,255
2010,2923308,28,0,28,0,28
2008,1304203,1746,0,1712,0,1557
2008,2702306,1117,0,1110,0,1098
2008,2607505,251,0,250,0,240
2008,1300086,135,0,135,0,111
2008,1500305,295,0,295,0,229
2017,3139409,3168,2939,3168,586,3150
2020,2106904,46,44,46,19,39
2020,2105476,67,50,67,11,64
2020,2111805,167,163,167,23,167
2020,1506187,507,505,507,61,502
2020,2106508,323,298,323,61,315
2020,2108504,180,163,180,36,167
2020,2102408,115,105,115,17,111
2020,2105203,186,185,186,38,184
2020,2104909,98,98,98,16,98
2020,2101905,183,166,183,22,166
2017,4126256,1448,1439,1448,247,1438
2017,4128104,3362,3362,3362,830,3355
2017,4127304,120,120,120,25,119
2017,2112308,567,565,567,39,562
2017,3159803,243,241,243,117,241
2017,4214805,2373,2372,2373,510,2371
2018,2107902,373,373,373,2,373
2018,2107407,307,307,307,41,306
2018,2104073,17,17,17,2,17
2018,2104206,158,158,158,13,157
2018,2103802,292,287,292,51,289
2018,1501709,3706,3215,3706,683,2793
2015,3151701,91,91,91,19,91
2015,3135100,2417,2359,2417,546,2372
2015,3101102,461,421,461,42,458
2015,3101706,961,945,961,173,942
2015,3140704,292,289,292,61,290
2015,3110004,369,291,369,58,324
2015,3106507,45,43,45,3,44
2015,3133303,654,625,654,122,647
2015,3105103,210,210,210,37,208
2015,3139201,417,401,417,62,410
2015,3507506,3223,3222,3223,908,3209
2015,3170404,1486,1449,1486,232,1467
2015,3122009,237,237,237,54,237
2015,3169604,155,150,155,14,155
2015,3128709,721,721,721,149,720
2015,3304524,1818,246,1818,48,1809
2015,3116159,91,91,91,8,89
2015,3129806,959,946,959,127,950
2015,3113305,1438,1438,1438,299,1438
2017,3170909,18,18,18,9,17
2017,3144300,524,524,524,81,521
2017,3165008,73,73,73,6,73
2017,3161106,857,833,857,148,851
2017,3141603,24,24,24,2,24
2017,3104700,76,29,76,5,73
2017,3152600,53,53,53,6,52
2017,5203906,36,35,36,1,36
2017,2922003,603,603,603,93,597
2011,3300456,11076,4657,11076,480,10831
2011,2407104,234,103,234,16,216
2011,3302858,205,0,205,0,203
2011,2411205,1262,1057,1262,113,1241
2011,3305505,763,278,763,39,744
2011,3518800,17940,9575,17940,2009,17729
2011,3169208,93,25,93,2,93
2011,3301108,227,20,227,5,226
2011,3305000,95,0,95,0,94
2011,3302304,60,12,60,4,58
2011,2410702,17,1,17,0,17
2011,2400802,45,26,45,7,45
2011,2409308,114,44,114,6,113
