"","id_municipio","ano","open"
"592",1301605,2020,0
"593",1301654,2008,1
"594",1301654,2012,0
"595",1301654,2016,1
"596",1301654,2020,0
"597",1301704,2008,0
"598",1301704,2012,0
"599",1301704,2016,1
"600",1301704,2020,0
"601",1301803,2008,1
"602",1301803,2012,1
"603",1301803,2016,1
"604",1301803,2020,0
"605",1301852,2008,0
"606",1301852,2012,1
"607",1301852,2016,1
"608",1301852,2020,1
"609",1301902,2008,1
"610",1301902,2012,0
"611",1301902,2016,0
"612",1301902,2020,0
"613",1301951,2008,1
"614",1301951,2012,0
"615",1301951,2016,1
"616",1301951,2020,1
"617",1302009,2008,0
"618",1302009,2012,0
"619",1302009,2016,1
"620",1302009,2020,0
"621",1302108,2008,1
"622",1302108,2012,0
"623",1302108,2016,1
"624",1302108,2020,0
"625",1302207,2008,0
"626",1302207,2012,1
"627",1302207,2016,1
"628",1302207,2020,0
"629",1302306,2008,0
"630",1302306,2012,1
"631",1302306,2016,0
"632",1302306,2020,0
"633",1302405,2008,0
"634",1302405,2012,1
"635",1302405,2016,0
"636",1302405,2020,0
"637",1302504,2008,1
"638",1302504,2012,1
"639",1302504,2016,1
"640",1302504,2020,0
"641",1302553,2008,0
"642",1302553,2012,1
"643",1302553,2016,1
"644",1302553,2020,0
"645",1302603,2008,1
"646",1302603,2012,1
"647",1302603,2016,1
"648",1302603,2020,1
"649",1302702,2008,0
"650",1302702,2012,1
"651",1302702,2016,1
"652",1302702,2020,1
"653",1302801,2008,1
"654",1302801,2012,1
"655",1302801,2016,1
"656",1302801,2020,1
"657",1302900,2008,1
"658",1302900,2012,1
"659",1302900,2016,0
"660",1302900,2020,0
"661",1303007,2008,0
"662",1303007,2012,1
"663",1303007,2016,0
"664",1303007,2020,1
"665",1303106,2008,0
"666",1303106,2012,1
"667",1303106,2016,0
"668",1303106,2020,0
"669",1303205,2008,0
"670",1303205,2012,0
"671",1303205,2016,0
"672",1303205,2020,1
"673",1303304,2008,1
"674",1303304,2012,0
"675",1303304,2016,0
"676",1303304,2020,1
"677",1303403,2008,0
"678",1303403,2012,1
"679",1303403,2016,1
"680",1303403,2020,0
"681",1303502,2008,1
"682",1303502,2012,1
"683",1303502,2016,1
"684",1303502,2020,0
"685",1303536,2008,0
"686",1303536,2012,1
"687",1303536,2016,0
"688",1303536,2020,0
"689",1303569,2008,1
"690",1303569,2012,1
"691",1303569,2016,1
"692",1303569,2020,0
"693",1303601,2008,0
"694",1303601,2012,1
"695",1303601,2016,1
"696",1303601,2020,0
"697",1303700,2008,0
"698",1303700,2012,1
"699",1303700,2016,0
"700",1303700,2020,1
"701",1303809,2008,0
"702",1303809,2012,0
"703",1303809,2016,0
"704",1303809,2020,0
"705",1303908,2008,1
"706",1303908,2012,0
"707",1303908,2016,1
"708",1303908,2020,0
