"","id_municipio","ano","saude","saneamento","turismo","comercio","agro","gastos"
"260",2703908,2020,12756968.13,296072.28,NA,NA,4182374.56,156316017.54
"261",2704005,2008,18168766.92,0,71501.71,71501.71,694034.48,170762432.04
"262",2704005,2012,NA,NA,NA,NA,NA,126450538.02
"263",2704005,2016,NA,NA,NA,NA,NA,219283835.07
"264",2704005,2020,66302446.78,NA,6770.25,386981.59,1468120.69,565013813.06
"265",2704104,2008,13655485.96,0,0,0,195693.62,114991423.68
"266",2704104,2012,17996809.96,NA,NA,NA,1794510.9,124183819.15
"267",2704104,2016,23474312.13,1200000,NA,NA,487822.1,185963576.7
"268",2704104,2020,34610129.37,153376.7,NA,NA,1751048.16,405300345.93
"269",2704203,2008,13880304.36,70937.4,0,0,587639.34,140374771.92
"270",2704203,2012,23850516.78,82000,NA,NA,1559842.16,157423156.26
"271",2704203,2016,26993361.93,4257112.38,NA,NA,2099424.9,210066138.06
"272",2704203,2020,57707252.97,6550471.88,NA,NA,3546936.87,513425634.21
"273",2704302,2008,817373599.42,268863353.02,0,0,0,5458177174
"274",2704302,2012,1073297464.48,2069247.3,504247.08,789607.08,NA,5392845856.58
"275",2704302,2016,1289183192,318785813.66,2582756.41,8865039.02,NA,7228584080.82
"276",2704302,2020,2543932446.87,567057918,18837068.79,34733536.52,NA,12817531171.45
"277",2704401,2008,11822976.72,0,0,0,718197.38,100500391.72
"278",2704401,2012,20630044.24,NA,178256.28,178256.28,1597389.28,132571953.66
"279",2704401,2016,22224499.16,NA,316744.3,316744.3,1136591.99,190708486.65
"280",2704401,2020,NA,NA,NA,NA,NA,NA
"281",2704500,2008,16020362.78,349665.74,277732.81,277732.81,187702.25,188066917.24
"282",2704500,2012,23906026.98,259479.58,NA,304933.92,774499.78,202889118.51
"283",2704500,2016,52064175.82,2495471.88,341332.03,857025.4,1450576.66,359947234.26
"284",2704500,2020,75593811.18,NA,713069.44,1596273.4,3587264.74,669996596.48
"285",2704609,2008,7349779.42,0,7825,7825,146683.08,77829417.04
"286",2704609,2012,NA,NA,NA,NA,NA,NA
"287",2704609,2016,9143389.47,NA,128251.07,128251.07,390839.05,109289119.65
"288",2704609,2020,21820629.31,NA,NA,108750.25,778347.29,279071368.68
"289",2704708,2008,38396698.82,8402959.58,357768.4,357768.4,130765.42,411804227.88
"290",2704708,2012,73516424,9627482.26,293845.57,293845.57,196240,566365994.01
"291",2704708,2016,103154650.06,13476625.64,NA,NA,29673,799845116.58
"292",2704708,2020,159113918.08,2761479.5,749677.98,903399.28,257815.5,1376043207.59
"293",2704807,2008,9412376.2,40000,0,0,101041.82,88034277.24
"294",2704807,2012,12134573.42,NA,NA,NA,604333.46,80019026.74
"295",2704807,2016,20517187.43,NA,NA,NA,262056.91,130506691.92
"296",2704807,2020,35496004.63,NA,NA,NA,287360.66,235111835.64
"297",2704906,2008,NA,NA,NA,NA,NA,NA
"298",2704906,2012,5473845.98,NA,NA,NA,405577.32,41890486.92
"299",2704906,2016,7063390.34,824341.62,436331,436331,536902.96,55198275.36
"300",2704906,2020,12191725.89,493742.84,2855669.24,2855669.24,5332931.2,129554974.41
"301",2705002,2008,15267176.48,0,0,0,323990.5,162163800.16
"302",2705002,2012,18553278.38,NA,NA,NA,1520911.6,173132153.46
"303",2705002,2016,26169842.8,NA,NA,NA,936822.34,221101213.5
"304",2705002,2020,43104984.62,NA,NA,NA,409520.12,468607102.05
"305",2705101,2008,16527453.8,29562.4,0,0,71086.36,141787076.2
"306",2705101,2012,25238553.62,NA,NA,NA,526676.4,152272429.11
"307",2705101,2016,23813122,NA,NA,NA,274826.4,197253773.49
"308",2705101,2020,NA,NA,NA,NA,NA,NA
"309",2705200,2008,10620759.74,0,0,0,0,105157379.56
"310",2705200,2012,17527120.62,NA,NA,NA,NA,132992693.94
"311",2705200,2016,17990535.64,NA,NA,NA,NA,171375319.98
"312",2705200,2020,37116218.95,NA,NA,NA,NA,292268261.97
"313",2705309,2008,4690122.6,0,0,0,717780.97,48799847.44
"314",2705309,2012,5939524.72,NA,NA,NA,1289395.4,47407028.67
"315",2705309,2016,8468424.97,NA,NA,NA,1280669.07,73595822.22
"316",2705309,2020,16589941.64,NA,NA,NA,1695547.86,130175101.51
"317",2705408,2008,4865736.04,0,0,0,518798.79,59213034.56
"318",2705408,2012,NA,NA,NA,NA,NA,NA
"319",2705408,2016,10278025.82,NA,NA,NA,144674.55,76868859.72
"320",2705408,2020,22164998.54,320961.86,NA,NA,164837.07,167699944.98
"321",2705507,2008,20684054.54,31875.2,0,43575.12,669297.16,172243846
"322",2705507,2012,28457188.3,243620.64,575123.1,575123.1,8198853.04,184808416.11
"323",2705507,2016,35202092.16,211824.22,130863.62,131782.98,7890723.6,234187080.84
"324",2705507,2020,74011800.05,809862.36,NA,NA,10510351.94,514793526.2
"325",2705606,2008,7262972.3,0,0,0,90874.32,86868370.8
"326",2705606,2012,11136270.02,NA,NA,NA,95882.82,90504171.33
"327",2705606,2016,10261299.27,NA,NA,NA,34301.77,107871253.92
"328",2705606,2020,20905679.82,NA,NA,NA,84667.29,253130761.89
"329",2705705,2008,14049239.82,0,0,0,257448.25,118014219.24
"330",2705705,2012,24502577.74,5833335.06,NA,128308.6,2279023.12,140080922.4
"331",2705705,2016,27323898.58,3563373.22,NA,21150,1355688.55,183821065.05
"332",2705705,2020,45517929.12,NA,NA,283412,1906824.18,321101822.19
"333",2705804,2008,5556723.24,2733667.16,0,0,237590.1,69090591.6
"334",2705804,2012,8515484.2,3988666.74,NA,NA,790772.4,61557805.17
"335",2705804,2016,10651277.26,140437,NA,NA,698424.74,87747682.56
"336",2705804,2020,22243738.08,118.32,NA,NA,412844.95,191336017.59
"337",2705903,2008,4703175.92,412358.16,0,0,804843.81,50916165.56
"338",2705903,2012,6431543.68,NA,NA,NA,265190.76,51980343.21
"339",2705903,2016,6828329.68,NA,NA,NA,69958.7,68061761.76
"340",2705903,2020,NA,NA,NA,NA,NA,NA
"341",2706000,2008,7660392.04,0,0,0,1271869.58,74530053.56
"342",2706000,2012,8334712.08,NA,NA,NA,537498.28,72239089.32
"343",2706000,2016,8448434.35,NA,NA,NA,1124279.24,128533708.8
"344",2706000,2020,NA,NA,NA,NA,NA,NA
"345",2706109,2008,6353746.7,10324,0,0,500792.48,69786488.04
"346",2706109,2012,16095441.22,NA,NA,NA,2227607.7,97323572.01
"347",2706109,2016,13486898.94,NA,NA,NA,1067475.06,118252428.9
"348",2706109,2020,28268055.46,NA,NA,NA,2293720.31,248080114.56
"349",2706208,2008,NA,NA,NA,NA,NA,NA
"350",2706208,2012,4848591.6,NA,NA,NA,491099.5,50997954.06
"351",2706208,2016,7242627.26,NA,NA,NA,481849.55,64826866.26
"352",2706208,2020,13895722.34,NA,NA,NA,1345023.94,119630552.12
"353",2706307,2008,75210878.06,0,0,114387.96,3518205.14,402747748.32
"354",2706307,2012,121427978.68,956249.46,NA,NA,3173137.04,479277884.55
"355",2706307,2016,144703286.43,NA,NA,212441.27,2922213.84,659714058.39
"356",2706307,2020,206661964.76,NA,NA,405496.65,5128092.04,1209988145.61
"357",2706406,2008,16263355.96,3972116.02,57065.04,57065.04,818981.02,157004064
"358",2706406,2012,25536911.7,NA,NA,191487.73,1763582.88,182251901.37
"359",2706406,2016,35955266.99,NA,NA,86592.35,1113456.94,193488185.16
"360",2706406,2020,63211647.91,NA,NA,NA,3913771.48,468286602.31
"361",2706422,2008,8260844.82,328316.82,0,0,621249.13,71681191.12
"362",2706422,2012,9365758.26,1687960,NA,NA,777705.7,70912436.79
"363",2706422,2016,16814552.68,NA,NA,NA,560447.89,97703568.78
"364",2706422,2020,24878933.07,NA,397.46,397.46,1601536.35,199010859.69
"365",2706448,2008,5812830.4,0,0,0,58720,59601297.76
"366",2706448,2012,10776907.32,NA,NA,44523.64,151608,79455476.7
"367",2706448,2016,16085020.08,NA,NA,NA,300808,144654068.76
"368",2706448,2020,NA,NA,NA,NA,NA,NA
"369",2706505,2008,NA,NA,NA,NA,NA,NA
"370",2706505,2012,16227624.94,NA,NA,NA,29639.38,111545865.68
"371",2706505,2016,20178962.34,NA,NA,264316.01,201958.72,156948260.85
"372",2706505,2020,NA,NA,NA,NA,NA,NA
"373",2706604,2008,6165707.06,6264,0,0,365742.38,52854064.16
"374",2706604,2012,7675907.48,NA,NA,NA,1248713.02,51769641.84
"375",2706604,2016,11683703.26,NA,2928759.33,2928759.33,417972.43,90781697.23
"376",2706604,2020,27222743.35,NA,NA,NA,1245807.94,151471807.23
"377",2706703,2008,62083467.14,9410750.64,715360,948878.87,1177464.98,339928934.12
"378",2706703,2012,73482563.42,11579064.56,NA,NA,3607230.92,354901090.2
"379",2706703,2016,NA,NA,NA,NA,NA,502343882.46
"380",2706703,2020,165573497.92,13928400.58,696132.2,2283510.26,2824221.81,1006057214.97
"381",2706802,2008,10601743.88,1315611.02,416151.81,416151.81,178498.05,119234080.8
